Banco,Contrato,Origen,Tipo archivo recaudo,periodo,Mes,Total recaudo,Total transacciones
avvillas,industria y comercio,presencial,pagos presencial,2022,7,26659653,49
avvillas,industria y comercio,presencial,pagos presencial,2022,8,16242304,24
avvillas,industria y comercio,presencial,pagos presencial,2022,9,23248898,40
avvillas,industria y comercio,presencial,pagos presencial,2022,10,18411607,23
avvillas,industria y comercio,presencial,pagos presencial,2022,11,20286211,36
avvillas,industria y comercio,presencial,pagos presencial,2022,12,13779466,21
avvillas,industria y comercio,presencial,pagos presencial,2023,1,11689073,13
avvillas,industria y comercio,presencial,pagos presencial,2023,2,65837725,22
avvillas,industria y comercio,presencial,pagos presencial,2023,3,3253633,28
avvillas,industria y comercio,presencial,pagos presencial,2023,4,6605284,14
avvillas,industria y comercio,presencial,pagos presencial,2023,5,3451174,6
avvillas,industria y comercio,presencial,pagos presencial,2023,6,9223731,7
avvillas,industria y comercio,presencial,pagos presencial,2023,7,451814,2
avvillas,industria y comercio,presencial,pagos presencial,2023,8,3165704,2
avvillas,industria y comercio,presencial,pagos presencial,2023,9,3457636,7
avvillas,industria y comercio,presencial,pagos presencial,2023,10,6575320,6
avvillas,industria y comercio,presencial,pagos presencial,2023,11,7481439,6
avvillas,industria y comercio,presencial,pagos presencial,2023,12,5446376,6
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,2,275736,2
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,4,1944243,1
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,5,6517,1
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,7,3386607,2
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,8,3810574,3
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,9,3706914,2
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,10,4172955,3
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,11,3006607,1
avvillas,ingresos no tributarios,presencial,pagos presencial,2022,12,4164917,6
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,1,3138835,2
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,2,4516752,5
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,3,3892522,4
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,4,7414638,6
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,5,3714026,5
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,6,3975307,6
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,7,3480860,3
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,8,4286096,5
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,9,869779,3
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,10,3271063,2
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,11,3271063,2
avvillas,ingresos no tributarios,presencial,pagos presencial,2023,12,6277670,3
avvillas,otros ingresos,presencial,pagos presencial,2022,11,61299,1
avvillas,otros ingresos,presencial,pagos presencial,2022,12,61299,1
avvillas,otros ingresos,presencial,pagos presencial,2023,1,61299,1
avvillas,pot.,presencial,pagos presencial,2022,5,42737732,2
avvillas,pot.,presencial,pagos presencial,2022,7,220187148,2
avvillas,pot.,presencial,pagos presencial,2022,12,105120,1
avvillas,pot.,presencial,pagos presencial,2023,3,1405612,1
avvillas,pot.,presencial,pagos presencial,2023,7,1194611,2
avvillas,pot.,presencial,pagos presencial,2023,8,381633,1
avvillas,pot.,presencial,pagos presencial,2023,9,2595042,3
avvillas,pot.,presencial,pagos presencial,2023,10,1208799,2
avvillas,pot.,presencial,pagos presencial,2023,11,4230033,3
avvillas,pot.,presencial,pagos presencial,2023,12,4793143,3
avvillas,préstamos hipotecarios,presencial,pagos presencial,2022,4,995833,2
avvillas,préstamos hipotecarios,presencial,pagos presencial,2022,5,383924,1
avvillas,préstamos hipotecarios,presencial,pagos presencial,2022,6,779903,2
avvillas,préstamos hipotecarios,presencial,pagos presencial,2022,7,2313981,5
avvillas,préstamos hipotecarios,presencial,pagos presencial,2022,8,3490415,11
avvillas,préstamos hipotecarios,presencial,pagos presencial,2022,9,8094880,9
avvillas,préstamos hipotecarios,presencial,pagos presencial,2022,10,53004995,12
avvillas,préstamos hipotecarios,presencial,pagos presencial,2022,11,6256017,9
avvillas,préstamos hipotecarios,presencial,pagos presencial,2022,12,1622740,5
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,1,2181913,5
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,2,5046349,9
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,3,4794942,10
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,4,3055413,8
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,5,4198022,7
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,6,5915931,9
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,7,3713785,6
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,8,6773934,7
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,9,10487107,5
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,10,9792041,13
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,11,3635492,8
avvillas,préstamos hipotecarios,presencial,pagos presencial,2023,12,6882666,11
avvillas,publicidad exterior visual,presencial,pagos presencial,2022,4,76000,1
avvillas,publicidad exterior visual,presencial,pagos presencial,2022,7,543000,1
avvillas,rentas contractuales,presencial,pagos presencial,2023,9,557589,3
avvillas,rentas contractuales,presencial,pagos presencial,2023,10,182167,1
avvillas,rentas contractuales,presencial,pagos presencial,2023,12,193255,1
avvillas,servicios,presencial,pagos presencial,2022,2,80500,2
avvillas,servicios,presencial,pagos presencial,2022,3,74750,4
avvillas,servicios,presencial,pagos presencial,2022,4,115000,7
avvillas,servicios,presencial,pagos presencial,2022,5,211300,13
avvillas,servicios,presencial,pagos presencial,2022,6,132250,10
avvillas,servicios,presencial,pagos presencial,2022,7,149500,5
avvillas,servicios,presencial,pagos presencial,2022,8,17250,1
avvillas,servicios,presencial,pagos presencial,2022,9,257300,12
avvillas,servicios,presencial,pagos presencial,2022,10,92000,6
avvillas,servicios,presencial,pagos presencial,2022,11,143750,8
avvillas,servicios,presencial,pagos presencial,2022,12,184000,12
avvillas,servicios,presencial,pagos presencial,2023,1,124450,7
