Banco,Contrato,Origen,Tipo archivo recaudo,Cuenta
banco davivienda,publicidad exterior visual,p,pagos web,855
bancolombia,retencion ica,n,pagos web,851
davivienda,pot.,presencial,pagos presencial,848
popular,servicios,presencial,pagos presencial,847
bogota_1,servicios,presencial,pagos presencial,843
popular,movilidad,presencial,pagos presencial,817
bogota_1,rentas contractuales,presencial,pagos presencial,804
bancolombia,aprov.esp.pub,n,pagos web,796
banco santander,impuesto predial,p,pagos web,792
banco de bogotá s.a.,impuesto predial,p,pagos web,761
banco itau,rendimientos financieros y recursos no ejecutados,p,pagos web,752
banco de occidente s.a.,impuesto predial,p,pagos web,744
finandina,impuesto predial,p,pagos web,736
colpatria,impuesto predial,presencial,pagos presencial,724
banco de bogota,recursos fonset,p,pagos web,715
bogota_1,préstamos hipotecarios,presencial,pagos presencial,714
bbva,industria y comercio,p,pagos web,704
bogota_1,alumbrado publico,presencial,pagos presencial,700
occidente,retencion ica,presencial,pagos presencial,696
bancolombia,retencion ica,presencial,pagos presencial,696
banco de occidente,rendimientos financieros y recursos no ejecutados,p,pagos web,693
scotiabank colpatria,impuesto predial,a,pagos web,691
bancolombia,delineación urbana,p,pagos web,686
bancolombia,aprov.esp.pub,p,pagos web,686
banco popular,industria y comercio,p,pagos web,677
banco de bogota,impuesto predial,a,pagos web,673
redeban multicolor s.a.,impuesto predial,p,pagos web,669
bancolombia,circulacion y transito,n,pagos web,662
banco gnb sudameris,rendimientos financieros y recursos no ejecutados,p,pagos web,661
itau corpbanca colombia s.a.,impuesto predial,p,pagos web,649
banco falabella,impuesto predial,n,pagos web,629
bancolombia - botón bancolombi,alumbrado publico,p,pagos web,624
banco davivienda,rendimientos financieros y recursos no ejecutados,p,pagos web,621
banco caja social,impuesto predial,n,pagos web,620
banco falabella,facilidades,p,pagos web,611
banco davivienda,circulacion y transito,p,pagos web,608
bancolombia,rendimientos financieros y recursos no ejecutados,n,pagos web,598
cotrafa,rentas contractuales,presencial,pagos presencial,589
financiera coomeva,impuesto predial,p,pagos web,587
scotiabank colpatria s.a.,industria y comercio,p,pagos web,583
banco de bogota,rendimientos financieros y recursos no ejecutados,p,pagos web,582
banco de bogota,facilidades,p,pagos web,579
bancolombia s.a.- nequi,impuesto predial,p,pagos web,578
cfa,industria y comercio,presencial,pagos presencial,562
bancolombia - botón bancolombi,circulacion y transito,p,pagos web,561
banco caja social,facilidades,p,pagos web,559
davivienda,servicios,presencial,pagos presencial,556
bancolombia - botón bancolombi,rentas contractuales,p,pagos web,555
banco gnb sudameris,industria y comercio,p,pagos web,551
compania de financiamiento tuy,industria y comercio,p,pagos web,551
banco de bogota,industria y comercio,n,pagos web,534
occidente,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,532
scotiabank colpatria,facilidades,p,pagos web,532
banco de occidente,industria y comercio,n,pagos web,531
banco agrario,impuesto predial,p,pagos web,528
bancoomeva s.a.,industria y comercio,p,pagos web,509
banco popular,retencion ica,p,pagos web,509
bancocajasocial,aprov.esp.pub,presencial,pagos presencial,504
banco de occidente,impuesto predial,n,pagos web,495
compania de financiamiento tuy,facilidades,p,pagos web,492
popular,préstamos hipotecarios,presencial,pagos presencial,489
bancolombia - botón bancolombi,rentas contractuales,n,pagos web,488
cfa,impuesto predial,presencial,pagos presencial,486
banco colpatria,facilidades,p,pagos web,480
bancolombia s.a.,facilidades,n,pagos web,480
bancolombia,impuesto predial,w,pagos web,473
avvillas,industria y comercio,presencial,pagos presencial,468
banco falabella,impuesto predial,a,pagos web,467
bancolombia,circulacion y transito,a,pagos web,461
bancolombia,rentas contractuales,n,pagos web,458
bbva,préstamos hipotecarios,presencial,pagos presencial,456
bancolombia - botón bancolombi,industria y comercio,a,pagos web,456
banco bbva colombia s.a.,industria y comercio,n,pagos web,453
avvillas,circulacion y transito,presencial,pagos presencial,450
banco colpatria,impuesto predial,n,pagos web,431
scotiabank colpatria s.a.,impuesto predial,n,pagos web,430
bancolombia - botón bancolombi,impuesto predial,w,pagos web,414
banco davivienda,industria y comercio,a,pagos web,414
banco itau,retencion ica,p,pagos web,413
bancolombia,alumbrado publico,n,pagos web,404
bbva,impuesto predial,a,pagos web,398
confiar cooperativa financiera,industria y comercio,p,pagos web,396
gnb,impuesto predial,presencial,pagos presencial,395
bancolombia - botón bancolombi,facilidades,a,pagos web,389
banco caja social,impuesto predial,a,pagos web,385
bancolombia,servicios,n,pagos web,381
banco av villas,rendimientos financieros y recursos no ejecutados,p,pagos web,376
nequi,industria y comercio,n,pagos web,376
citibank,facilidades,p,pagos web,368
davivienda,rendimientos financieros y recursos no ejecutados,presencial,pagos presencial,368
banco bogota,impuesto predial,p,pagos web,367
nu pagamentos sa,impuesto predial,n,pagos web,367
banco gnb sudameris,circulacion y transito,p,pagos web,366
itaú,industria y comercio,p,pagos web,362
banco davivienda,facilidades,n,pagos web,359
citibank,impuesto predial,a,pagos web,355
colpatria,delineación urbana,presencial,pagos presencial,352
bancolombia - botón bancolombi,circulacion y transito,n,pagos web,351
occidente,otros ingresos,presencial,pagos presencial,351
confiar,alumbrado publico,presencial,pagos presencial,351
citibank,alumbrado publico,p,pagos web,348
banco bbva colombia s.a.,recursos fonset,p,pagos web,345
"chase bank usa, n.a.",impuesto predial,p,pagos web,344
bbva,alumbrado publico,presencial,pagos presencial,342
bancocajasocial,rentas contractuales,presencial,pagos presencial,336
bogota_1,ingresos no tributarios,presencial,pagos presencial,334
bancolombia - botón bancolombi,aprov.esp.pub,n,pagos web,332
banco av villas,impuesto predial,n,pagos web,322
nequi,facilidades,n,pagos web,318
bancolombia s.a.,industria y comercio,a,pagos web,317
colpatria,alumbrado publico,presencial,pagos presencial,316
bogota_1,movilidad,presencial,pagos presencial,315
bancolombia - botón bancolombi,servicios,n,pagos web,315
banco de occidente,facilidades,p,pagos web,313
banco occidente,impuesto predial,p,pagos web,313
banco de bogota,publicidad exterior visual,p,pagos web,308
bancocajasocial,circulacion y transito,presencial,pagos presencial,307
banco agrario,industria y comercio,p,pagos web,303
banco caja social,otros ingresos,p,pagos web,303
cotrafa,impuesto predial,p,pagos web,301
banco av villas,impuesto predial,a,pagos web,300
nu pagamentos sa,impuesto predial,a,pagos web,295
bank of america,impuesto predial,p,pagos web,292
banco colpatria,impuesto predial,a,pagos web,289
banco av villas,facilidades,p,pagos web,287
"rappipay, s.a.s.",impuesto predial,n,pagos web,286
bancolombia s.a.,circulacion y transito,p,pagos web,285
bancolombia,otros ingresos,p,pagos web,283
bancolombia,publicidad exterior visual,n,pagos web,281
colpatria,circulacion y transito,presencial,pagos presencial,279
avvillas,servicios,presencial,pagos presencial,279
bancolombia - botón bancolombi,impuesto telefonico,p,pagos web,275
bancolombia s.a.,alumbrado publico,p,pagos web,272
banco popular,impuesto predial,n,pagos web,265
scotiabank colpatria s.a.,impuesto predial,a,pagos web,261
citibank,retencion ica,p,pagos web,260
compania de financiamiento tuy,impuesto predial,n,pagos web,260
compania de financiamiento tuy,impuesto predial,a,pagos web,258
banco davivienda,rentas contractuales,p,pagos web,255
bancocajasocial,ingresos no tributarios,presencial,pagos presencial,255
banco itau,impuesto predial,n,pagos web,252
banco caja social,retencion ica,p,pagos web,251
occidente,publicidad exterior visual,presencial,pagos presencial,251
falabella,facilidades,p,pagos web,250
bbva,retencion ica,presencial,pagos presencial,250
nequi,industria y comercio,a,pagos web,247
banco cooperativo coopcentral,impuesto predial,n,pagos web,244
davivienda,publicidad exterior visual,presencial,pagos presencial,243
cfa cooperativa financiera,impuesto predial,p,pagos web,243
scotiabank colpatria,industria y comercio,n,pagos web,240
av villas,impuesto predial,p,pagos web,239
falabella,industria y comercio,p,pagos web,238
