contrato;tipo_archivo_recaudo;periodo;mes;total_recaudo;total_transacciones;periodo_mes
transferencias;virtual;2020;12;2735712785;31;2020-12-1
alumbrado publico;presencial;2021;1;317977210;296;2021-1-1
circulacion y transito;presencial;2021;1;1242514606;2229;2021-1-1
circulacion y transito;virtual;2021;1;12444650;162;2021-1-1
cuotas partes jubilatorias;presencial;2021;1;15302072;12;2021-1-1
deguello de ganado;virtual;2021;1;338223600;2;2021-1-1
delineacion urbana;presencial;2021;1;358805522;99;2021-1-1
delineacion urbana;virtual;2021;1;1316835000;6;2021-1-1
estampilla procultura;presencial;2021;1;42001000;1;2021-1-1
estampilla procultura;virtual;2021;1;215539000;10;2021-1-1
impuesto predial;presencial;2021;1;6430937521;13398;2021-1-1
impuesto predial;virtual;2021;1;13144207650;11423;2021-1-1
impuesto telefonico;presencial;2021;1;1954489327;13;2021-1-1
impuesto telefonico;virtual;2021;1;9005623;9;2021-1-1
industria y comercio;presencial;2021;1;7133555743;16940;2021-1-1
industria y comercio;virtual;2021;1;12841793460;12465;2021-1-1
ingresos no tributarios;presencial;2021;1;1213228031;327;2021-1-1
ingresos no tributarios;virtual;2021;1;10730493;23;2021-1-1
movilidad;presencial;2021;1;9185111757;37445;2021-1-1
multas codigo de policia;presencial;2021;1;24351773;52;2021-1-1
otros ingresos;presencial;2021;1;2500342735;168;2021-1-1
otros ingresos;virtual;2021;1;692915;12;2021-1-1
publicidad exterior visual;presencial;2021;1;117355468;391;2021-1-1
recursos fonset;presencial;2021;1;516068000;3;2021-1-1
recursos fonset;virtual;2021;1;20410501000;155;2021-1-1
rendimientos financieros y recursos no ejecutados;presencial;2021;1;1131711068;13;2021-1-1
rendimientos financieros y recursos no ejecutados;virtual;2021;1;470909821;72;2021-1-1
rentas contractuales;presencial;2021;1;61442232;148;2021-1-1
rentas contractuales;virtual;2021;1;391742916;48;2021-1-1
retencion ica;presencial;2021;1;2400557059;122;2021-1-1
retencion ica;virtual;2021;1;5042152318;854;2021-1-1
servicios;presencial;2021;1;5220407;456;2021-1-1
servicios;virtual;2021;1;11200;2;2021-1-1
sobretasa a la gasolina;presencial;2021;1;10243773000;8;2021-1-1
transferencias;presencial;2021;1;22171893;3;2021-1-1
transferencias;virtual;2021;1;3546275813;26;2021-1-1
alumbrado publico;presencial;2021;2;6204483315;296;2021-2-1
aportes voluntarios;presencial;2021;2;5600;1;2021-2-1
circulacion y transito;presencial;2021;2;5462559956;2604;2021-2-1
circulacion y transito;virtual;2021;2;20250665;328;2021-2-1
cuotas partes jubilatorias;presencial;2021;2;240816363;28;2021-2-1
deguello de ganado;virtual;2021;2;282708000;2;2021-2-1
delineacion urbana;presencial;2021;2;589047500;221;2021-2-1
delineacion urbana;virtual;2021;2;179328862;20;2021-2-1
estampilla procultura;virtual;2021;2;84927000;4;2021-2-1
impuesto predial;presencial;2021;2;2,2401E+11;405233;2021-2-1
impuesto predial;virtual;2021;2;1,13621E+11;74818;2021-2-1
impuesto telefonico;presencial;2021;2;1796413725;28;2021-2-1
impuesto telefonico;virtual;2021;2;9363223;9;2021-2-1
industria y comercio;presencial;2021;2;7809319636;24119;2021-2-1
industria y comercio;virtual;2021;2;14578485664;15242;2021-2-1
ingresos no tributarios;presencial;2021;2;1652979544;610;2021-2-1
ingresos no tributarios;virtual;2021;2;96963168;72;2021-2-1
movilidad;presencial;2021;2;11215444832;43997;2021-2-1
multas codigo de policia;presencial;2021;2;163241652;209;2021-2-1
otros ingresos;presencial;2021;2;1,00672E+11;225;2021-2-1
otros ingresos;virtual;2021;2;585043;129;2021-2-1
publicidad exterior visual;presencial;2021;2;97931148;161;2021-2-1
publicidad exterior visual;virtual;2021;2;2916197;1;2021-2-1
recursos fonset;presencial;2021;2;690000;1;2021-2-1
recursos fonset;virtual;2021;2;6041501000;20;2021-2-1
rendimientos financieros y recursos no ejecutados;presencial;2021;2;13739837984;63;2021-2-1
rendimientos financieros y recursos no ejecutados;virtual;2021;2;5857870474;115;2021-2-1
rentas contractuales;presencial;2021;2;144966574;435;2021-2-1
rentas contractuales;virtual;2021;2;7787196032;59;2021-2-1
retencion ica;presencial;2021;2;3171000;6;2021-2-1
retencion ica;virtual;2021;2;30824858;36;2021-2-1
servicios;presencial;2021;2;13708454;1035;2021-2-1
servicios;virtual;2021;2;5600;1;2021-2-1
sobretasa a la gasolina;presencial;2021;2;7645310000;8;2021-2-1
transferencias;presencial;2021;2;129978503;5;2021-2-1
transferencias;virtual;2021;2;5210686093;57;2021-2-1
alumbrado publico;presencial;2021;3;10967189180;306;2021-3-1
circulacion y transito;presencial;2021;3;9068083688;3211;2021-3-1
circulacion y transito;virtual;2021;3;13384688;291;2021-3-1
cuotas partes jubilatorias;presencial;2021;3;191324498;56;2021-3-1
deguello de ganado;virtual;2021;3;289432000;2;2021-3-1
delineacion urbana;presencial;2021;3;1479852728;258;2021-3-1
delineacion urbana;virtual;2021;3;1714768862;27;2021-3-1
estampilla procultura;virtual;2021;3;90211058;7;2021-3-1
impuesto predial;presencial;2021;3;84205513023;213757;2021-3-1
impuesto predial;virtual;2021;3;86154874666;48040;2021-3-1
impuesto telefonico;presencial;2021;3;1821924084;29;2021-3-1
impuesto telefonico;virtual;2021;3;326521;3;2021-3-1
industria y comercio;presencial;2021;3;66940356651;11504;2021-3-1
industria y comercio;virtual;2021;3;18629010498;18476;2021-3-1
ingresos no tributarios;presencial;2021;3;2927192838;587;2021-3-1
ingresos no tributarios;virtual;2021;3;51614956;101;2021-3-1
movilidad;presencial;2021;3;12391809375;47783;2021-3-1
movilidad;virtual;2021;3;84210000;52;2021-3-1
multas codigo de policia;presencial;2021;3;60317719;124;2021-3-1
otros ingresos;presencial;2021;3;2,01149E+11;130;2021-3-1
otros ingresos;virtual;2021;3;324290161;5;2021-3-1
publicidad exterior visual;presencial;2021;3;143565131;400;2021-3-1
publicidad exterior visual;virtual;2021;3;2916197;1;2021-3-1
recursos fonset;presencial;2021;3;27000;1;2021-3-1
recursos fonset;virtual;2021;3;8273842000;31;2021-3-1
rendimientos financieros y recursos no ejecutados;presencial;2021;3;1351396781;48;2021-3-1
rendimientos financieros y recursos no ejecutados;virtual;2021;3;2038697657;226;2021-3-1
rentas contractuales;presencial;2021;3;3711307604;325;2021-3-1
rentas contractuales;virtual;2021;3;691594923;34;2021-3-1
